timestamp,username,ip_address,esito_accesso
2026-01-10 08:45,mrossi,192.168.1.10,OK
2026-01-10 08:47,mrossi,192.168.1.10,OK
2026-01-10 08:49,mrossi,203.0.113.45,FAIL
2026-01-10 08:50,mrossi,203.0.113.45,FAIL
2026-01-10 08:51,mrossi,203.0.113.45,FAIL
2026-01-10 09:15,lbianchi,192.168.1.22,OK
2026-01-10 08:30,mrossi,192.168.1.10,OK
2026-01-10 08:45,lbianchi,192.168.1.22,OK
2026-01-10 09:00,averdi,172.16.0.5,FAIL
2026-01-10 09:05,averdi,172.16.0.5,FAIL
2026-01-10 09:10,averdi,172.16.0.5,OK
2026-01-10 10:20,fneri,10.0.0.15,OK
2026-01-10 11:00,mrossi,203.0.113.45,FAIL
2026-01-10 11:01,mrossi,203.0.113.45,FAIL
2026-01-10 11:02,mrossi,203.0.113.45,FAIL
2026-01-10 12:30,gviola,192.168.1.50,OK
2026-01-10 14:15,lbianchi,192.168.1.22,OK
2026-01-10 15:00,srossini,185.40.10.2,FAIL
2026-01-10 15:05,srossini,185.40.10.2,FAIL
2026-01-10 16:20,mrossi,192.168.1.10,OK
2026-01-10 17:45,fneri,10.0.0.15,FAIL
2026-01-10 18:10,averdi,172.16.0.5,OK
2026-01-10 19:30,gviola,192.168.1.50,FAIL
2026-01-10 20:00,lbianchi,93.12.45.110,FAIL
2026-01-10 20:01,lbianchi,93.12.45.110,FAIL
2026-01-10 21:15,fneri,10.0.0.15,OK
2026-01-10 22:40,srossini,185.40.10.2,OK
2026-01-10 23:55,mrossi,192.168.1.10,OK
